                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     225919 |     226361 |     225205 |     226040 |     226959 |     226141 |     226121 |     225041 |     225506 |     228021 |     225707 |     226386 |     226477 |     225424 |     226369 |     226148
  Cycles                             |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360 |    9742360
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542 |    3662542
  Idle time (ns)                     |    3437427 |    3437768 |    3441433 |    3438486 |    3436606 |    3441479 |    3436312 |    3439568 |    3441954 |    3441251 |    3442142 |    3442232 |    3440686 |    3442666 |    3442876 |    3438606
  Idle time (%)                      |      93.9% |      93.9% |      94.0% |      93.9% |      93.8% |      94.0% |      93.8% |      93.9% |      94.0% |      94.0% |      94.0% |      94.0% |      93.9% |      94.0% |      94.0% |      93.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19138 |      19087 |      19048 |      19130 |      19284 |      19183 |      19108 |      19057 |      19132 |      19407 |      19121 |      19122 |      19179 |      19032 |      19275 |      19110
  num incorrect                      |        528 |        540 |        527 |        543 |        559 |        553 |        529 |        541 |        533 |        540 |        553 |        542 |        536 |        553 |        559 |        536
  misprediction rate                 |      2.68% |      2.75% |      2.69% |      2.76% |      2.82% |      2.80% |      2.69% |      2.76% |      2.71% |      2.71% |      2.81% |      2.76% |      2.72% |      2.82% |      2.82% |      2.73%
  mpki                               |       2.34 |       2.39 |       2.34 |       2.40 |       2.46 |       2.45 |       2.34 |       2.40 |       2.36 |       2.37 |       2.45 |       2.39 |       2.37 |       2.45 |       2.47 |       2.37
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39626 |      39857 |      39553 |      39652 |      39714 |      39637 |      39752 |      39440 |      39471 |      39954 |      39533 |      39790 |      39721 |      39619 |      39512 |      39733
    num cache misses                 |         22 |         22 |         22 |         22 |         66 |         65 |         21 |         21 |         22 |         65 |         22 |         22 |         22 |         22 |         66 |         20
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.17% |      0.16% |      0.05% |      0.05% |      0.06% |      0.16% |      0.06% |      0.06% |      0.06% |      0.06% |      0.17% |      0.05%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.29 |       0.29 |       0.09 |       0.09 |       0.10 |       0.29 |       0.10 |       0.10 |       0.10 |       0.10 |       0.29 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     140000 |     140231 |     139728 |     140054 |     140404 |     140096 |     140115 |     139626 |     139801 |     140852 |     139896 |     140217 |     140222 |     139832 |     140124 |     140109
    num cache misses                 |       5155 |       4891 |       4830 |       4846 |       4824 |       4739 |       4910 |       4746 |       5132 |       5034 |       4891 |       4908 |       4877 |       4748 |       4798 |       4917
    miss rate                        |      3.68% |      3.49% |      3.46% |      3.46% |      3.44% |      3.38% |      3.50% |      3.40% |      3.67% |      3.57% |      3.50% |      3.50% |      3.48% |      3.40% |      3.42% |      3.51%
    mpki                             |      22.82 |      21.61 |      21.45 |      21.44 |      21.25 |      20.96 |      21.71 |      21.09 |      22.76 |      22.08 |      21.67 |      21.68 |      21.53 |      21.06 |      21.20 |      21.74
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
