                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     617634 |     519185 |     742270 |     760598 |     652713 |     659403 |     763582 |     749040 |     819915 |     782802 |     602681 |     608626 |     707168 |     769143 |     650110 |     716349
  Cycles                             |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338 |    7475338
  IPC                                |       0.08 |       0.07 |       0.10 |       0.10 |       0.09 |       0.09 |       0.10 |       0.10 |       0.11 |       0.10 |       0.08 |       0.08 |       0.09 |       0.10 |       0.09 |       0.10
  Time (ns)                          |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278 |    2810278
  Idle time (ns)                     |     805968 |    1065725 |     134191 |      96369 |     497083 |     496252 |     129279 |     228154 |     170865 |      84917 |     830165 |     821661 |     316869 |      95779 |     591219 |     332209
  Idle time (%)                      |      28.7% |      37.9% |       4.8% |       3.4% |      17.7% |      17.7% |       4.6% |       8.1% |       6.1% |       3.0% |      29.5% |      29.2% |      11.3% |       3.4% |      21.0% |      11.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      85226 |      68808 |     105979 |     109052 |      91074 |      92176 |     109537 |     107121 |     118927 |     112745 |      82715 |      83720 |     100144 |     110454 |      90628 |     101671
  num incorrect                      |         65 |         72 |         79 |         62 |         60 |         73 |         75 |         67 |         74 |         69 |         77 |         65 |         66 |         85 |         71 |         69
  misprediction rate                 |      0.08% |      0.10% |      0.07% |      0.06% |      0.07% |      0.08% |      0.07% |      0.06% |      0.06% |      0.06% |      0.09% |      0.08% |      0.07% |      0.08% |      0.08% |      0.07%
  mpki                               |       0.11 |       0.14 |       0.11 |       0.08 |       0.09 |       0.11 |       0.10 |       0.09 |       0.09 |       0.09 |       0.13 |       0.11 |       0.09 |       0.11 |       0.11 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     174568 |     141750 |     216116 |     222221 |     186265 |     188493 |     223213 |     218365 |     241999 |     229622 |     169581 |     171565 |     204409 |     225073 |     185393 |     207475
    num cache misses                 |         10 |         12 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     340872 |     291646 |     403193 |     412354 |     358413 |     361757 |     413845 |     406575 |     442014 |     423456 |     333395 |     336368 |     385640 |     416627 |     357110 |     390230
    num cache misses                 |      81377 |      50072 |      75129 |      75598 |      63327 |      64059 |      75059 |      70602 |     107659 |      80259 |      57797 |      57258 |      68605 |      73872 |      61350 |      66251
    miss rate                        |     23.87% |     17.17% |     18.63% |     18.33% |     17.67% |     17.71% |     18.14% |     17.37% |     24.36% |     18.95% |     17.34% |     17.02% |     17.79% |     17.73% |     17.18% |     16.98%
    mpki                             |     131.76 |      96.44 |     101.22 |      99.39 |      97.02 |      97.15 |      98.30 |      94.26 |     131.31 |     102.53 |      95.90 |      94.08 |      97.01 |      96.04 |      94.37 |      92.48
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      81581 |      50204 |      75341 |      75898 |      63485 |      64229 |      75274 |      70792 |     107817 |      80410 |      57858 |      57311 |      68687 |      73955 |      61427 |      66320
    num cache misses                 |      65863 |      39387 |      61717 |      61426 |      52269 |      52518 |      61446 |      58039 |      86928 |      61993 |      44252 |      43799 |      56198 |      61574 |      49828 |      54488
    miss rate                        |     80.73% |     78.45% |     81.92% |     80.93% |     82.33% |     81.77% |     81.63% |     81.99% |     80.63% |     77.10% |     76.48% |     76.42% |     81.82% |     83.26% |     81.12% |     82.16%
    mpki                             |     106.64 |      75.86 |      83.15 |      80.76 |      80.08 |      79.64 |      80.47 |      77.48 |     106.02 |      79.19 |      73.43 |      71.96 |      79.47 |      80.06 |      76.65 |      76.06
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      66128 |      39491 |      61884 |      61685 |      52404 |      52656 |      61618 |      58186 |      87179 |      62112 |      44280 |      43824 |      56253 |      61630 |      49880 |      54527
    num cache misses                 |      44723 |      30308 |      46370 |      44861 |      36806 |      37018 |      42985 |      43686 |      57588 |      44579 |      32309 |      31397 |      36965 |      40107 |      32854 |      38867
    miss rate                        |     67.63% |     76.75% |     74.93% |     72.73% |     70.24% |     70.30% |     69.76% |     75.08% |     66.06% |     71.77% |     72.97% |     71.64% |     65.71% |     65.08% |     65.87% |     71.28%
    mpki                             |      72.41 |      58.38 |      62.47 |      58.98 |      56.39 |      56.14 |      56.29 |      58.32 |      70.24 |      56.95 |      53.61 |      51.59 |      52.27 |      52.15 |      50.54 |      54.26
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     101.67 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
