                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     697350 |     649155 |     642559 |     541093 |     605608 |     511243 |     601694 |     724198 |     637684 |     569490 |     589210 |     648478 |     527078 |     538363 |     584318 |     626078
  Cycles                             |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746 |    6742746
  IPC                                |       0.10 |       0.10 |       0.10 |       0.08 |       0.09 |       0.08 |       0.09 |       0.11 |       0.09 |       0.08 |       0.09 |       0.10 |       0.08 |       0.08 |       0.09 |       0.09
  Time (ns)                          |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867 |    2534867
  Idle time (ns)                     |     160612 |      82860 |     157649 |     580338 |     179251 |     579960 |     181661 |      83548 |     370155 |     464506 |     385880 |     159373 |     570469 |     469108 |     312865 |     125704
  Idle time (%)                      |       6.3% |       3.3% |       6.2% |      22.9% |       7.1% |      22.9% |       7.2% |       3.3% |      14.6% |      18.3% |      15.2% |       6.3% |      22.5% |      18.5% |      12.3% |       5.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     115741 |     106112 |     104782 |      84515 |      97400 |      78566 |      96625 |     121102 |     103814 |      90197 |      94124 |     105980 |      81711 |      83987 |      93149 |     101526
  num incorrect                      |        149 |        136 |        146 |        123 |        135 |         99 |        129 |        153 |        139 |        117 |        133 |        131 |        121 |        101 |        131 |        106
  misprediction rate                 |      0.13% |      0.13% |      0.14% |      0.15% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.14% |      0.12% |      0.15% |      0.12% |      0.14% |      0.10%
  mpki                               |       0.21 |       0.21 |       0.23 |       0.23 |       0.22 |       0.19 |       0.21 |       0.21 |       0.22 |       0.21 |       0.23 |       0.20 |       0.23 |       0.19 |       0.22 |       0.17
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     236766 |     217492 |     214850 |     174268 |     200069 |     162326 |     198495 |     247499 |     212902 |     185620 |     193507 |     217217 |     168660 |     173171 |     191556 |     208260
    num cache misses                 |         11 |         12 |         15 |         13 |         15 |         15 |         16 |         16 |         15 |         15 |         16 |         16 |         15 |         16 |         15 |         15
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03 |       0.02 |       0.02 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     432669 |     403751 |     399794 |     338918 |     377624 |     321006 |     375271 |     448775 |     396870 |     355951 |     367782 |     403345 |     330507 |     337276 |     364851 |     389907
    num cache misses                 |      97996 |      71526 |      69806 |      56388 |      63199 |      50853 |      63400 |      63951 |      87566 |      61278 |      62533 |      68563 |      53070 |      54636 |      60081 |      61837
    miss rate                        |     22.65% |     17.72% |     17.46% |     16.64% |     16.74% |     15.84% |     16.89% |     14.25% |     22.06% |     17.22% |     17.00% |     17.00% |     16.06% |     16.20% |     16.47% |     15.86%
    mpki                             |     140.53 |     110.18 |     108.64 |     104.21 |     104.36 |      99.47 |     105.37 |      88.31 |     137.32 |     107.60 |     106.13 |     105.73 |     100.69 |     101.49 |     102.82 |      98.77
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
