                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     375284 |     385138 |     409476 |     379084 |     388115 |     415676 |     362305 |     376210 |     408232 |     390715 |     415693 |     399713 |     452943 |     387232 |     247526 |     425308
  Cycles                             |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381 |     996381
  IPC                                |       0.38 |       0.39 |       0.41 |       0.38 |       0.39 |       0.42 |       0.36 |       0.38 |       0.41 |       0.39 |       0.42 |       0.40 |       0.45 |       0.39 |       0.25 |       0.43
  Time (ns)                          |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580 |     374580
  Idle time (ns)                     |     103438 |     109326 |     106082 |     129635 |     128264 |      86622 |     156173 |     110340 |      87596 |     125363 |     107296 |     129059 |      84917 |     131141 |     235254 |      85217
  Idle time (%)                      |      27.6% |      29.2% |      28.3% |      34.6% |      34.2% |      23.1% |      41.7% |      29.5% |      23.4% |      33.5% |      28.6% |      34.5% |      22.7% |      35.0% |      62.8% |      22.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      80745 |      83193 |      89289 |      81689 |      83941 |      90816 |      77506 |      80955 |      88974 |      84605 |      90842 |      86846 |     100145 |      83722 |      48816 |      93242
  num incorrect                      |         89 |         91 |         93 |         82 |         97 |        110 |         83 |        111 |         99 |         91 |         81 |         95 |        105 |         97 |         76 |         98
  misprediction rate                 |      0.11% |      0.11% |      0.10% |      0.10% |      0.12% |      0.12% |      0.11% |      0.14% |      0.11% |      0.11% |      0.09% |      0.11% |      0.10% |      0.12% |      0.16% |      0.10%
  mpki                               |       0.24 |       0.24 |       0.23 |       0.22 |       0.25 |       0.26 |       0.23 |       0.30 |       0.24 |       0.23 |       0.19 |       0.24 |       0.23 |       0.25 |       0.31 |       0.23
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13023 |      13025 |      13023 |      13023 |      13029 |      13025 |      13023 |      13021 |      13019 |      13021 |      13025 |      13019 |      13020 |      13026 |      13029 |      13023
    num cache misses                 |         12 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         13 |         15 |         15 |         15 |         15 |         15 |         15
