                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     732455 |     416945 |     697405 |     692945 |     612314 |     710920 |     663350 |     659570 |     744296 |     700012 |     384061 |     643053 |     627853 |     647596 |     750374 |     688958
  Cycles                             |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207 |    1308207
  IPC                                |       0.56 |       0.32 |       0.53 |       0.53 |       0.47 |       0.54 |       0.51 |       0.50 |       0.57 |       0.54 |       0.29 |       0.49 |       0.48 |       0.50 |       0.57 |       0.53
  Time (ns)                          |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807 |     491807
  Idle time (ns)                     |      90475 |     279563 |     128478 |     123091 |     196908 |      87895 |     134084 |     135136 |      89615 |      93429 |     314055 |     145022 |     184870 |     171985 |      86962 |     123338
  Idle time (%)                      |      18.4% |      56.8% |      26.1% |      25.0% |      40.0% |      17.9% |      27.3% |      27.5% |      18.2% |      19.0% |      63.9% |      29.5% |      37.6% |      35.0% |      17.7% |      25.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     170321 |      91421 |     161544 |     160421 |     140267 |     164931 |     153021 |     152103 |     173282 |     162206 |      83229 |     147954 |     144179 |     149090 |     174760 |     159436
  num incorrect                      |         57 |         62 |         66 |         76 |         63 |         58 |         69 |         51 |         52 |         50 |         48 |         67 |         45 |         66 |         86 |         63
  misprediction rate                 |      0.03% |      0.07% |      0.04% |      0.05% |      0.04% |      0.04% |      0.05% |      0.03% |      0.03% |      0.03% |      0.06% |      0.05% |      0.03% |      0.04% |      0.05% |      0.04%
  mpki                               |       0.08 |       0.15 |       0.09 |       0.11 |       0.10 |       0.08 |       0.10 |       0.08 |       0.07 |       0.07 |       0.12 |       0.10 |       0.07 |       0.10 |       0.11 |       0.09
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12032 |      12033 |      12035 |      12035 |      12043 |      12039 |      12045 |      12029 |      12031 |      12027 |      12027 |      12031 |      12023 |      12033 |      12050 |      12033
    num cache misses                 |         10 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         14 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.01 |       0.04 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.04 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     375778 |     217996 |     358253 |     356024 |     315699 |     365010 |     341215 |     339338 |     381699 |     359544 |     201583 |     331070 |     323473 |     333341 |     384734 |     354030
    num cache misses                 |      10725 |       5138 |       9228 |       9306 |       7201 |      10248 |       8853 |       8976 |      10980 |       9748 |       4306 |       8500 |       7861 |       8050 |      10584 |       9007
    miss rate                        |      2.85% |      2.36% |      2.58% |      2.61% |      2.28% |      2.81% |      2.59% |      2.65% |      2.88% |      2.71% |      2.14% |      2.57% |      2.43% |      2.41% |      2.75% |      2.54%
    mpki                             |      14.64 |      12.32 |      13.23 |      13.43 |      11.76 |      14.42 |      13.35 |      13.61 |      14.75 |      13.93 |      11.21 |      13.22 |      12.52 |      12.43 |      14.10 |      13.07
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12203 |       6811 |      10824 |      10840 |       8799 |      11414 |      10445 |      10492 |      12494 |      11352 |       6110 |      10196 |       9536 |       9712 |      11953 |      10635
    num cache misses                 |       7407 |       3713 |       6478 |       6402 |       5057 |       7275 |       6077 |       6272 |       7339 |       6912 |       3088 |       5838 |       5340 |       5227 |       7188 |       6053
    miss rate                        |     60.70% |     54.51% |     59.85% |     59.06% |     57.47% |     63.74% |     58.18% |     59.78% |     58.74% |     60.89% |     50.54% |     57.26% |     56.00% |     53.82% |     60.14% |     56.92%
    mpki                             |      10.11 |       8.91 |       9.29 |       9.24 |       8.26 |      10.23 |       9.16 |       9.51 |       9.86 |       9.87 |       8.04 |       9.08 |       8.51 |       8.07 |       9.58 |       8.79
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8614 |       4987 |       7701 |       7553 |       6349 |       8227 |       7387 |       7488 |       8506 |       8064 |       4430 |       7112 |       6677 |       6401 |       8326 |       7371
    num cache misses                 |       6044 |       3045 |       5423 |       5377 |       4129 |       6022 |       5025 |       5292 |       5922 |       5637 |       2475 |       4841 |       4242 |       4277 |       5721 |       5117
    miss rate                        |     70.16% |     61.06% |     70.42% |     71.19% |     65.03% |     73.20% |     68.02% |     70.67% |     69.62% |     69.90% |     55.87% |     68.07% |     63.53% |     66.82% |     68.71% |     69.42%
    mpki                             |       8.25 |       7.30 |       7.78 |       7.76 |       6.74 |       8.47 |       7.58 |       8.02 |       7.96 |       8.05 |       6.44 |       7.53 |       6.76 |       6.60 |       7.62 |       7.43
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      89.26 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      35.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          3 |          3 |          7 |          3 |          4 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3189 |       1087 |       1845 |       1393 |       1607 |       2581 |       1620 |       1613 |       3008 |       2267 |        762 |       1273 |       1667 |       1562 |       2222 |       1626
