                                     | Core 0     | Core 1    
  Instructions                       |     210489 |     209385
  Cycles                             |    1352999 |    1352999
  IPC                                |       0.16 |       0.15
  Time (ns)                          |     508646 |     508646
  Idle time (ns)                     |     386211 |     386982
  Idle time (%)                      |      75.9% |      76.1%
Branch predictor stats               |            |           
  num correct                        |      18373 |      18221
  num incorrect                      |        450 |        447
  misprediction rate                 |      2.39% |      2.39%
  mpki                               |       2.14 |       2.13
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      36066 |      35900
    num cache misses                 |         65 |         64
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.31 |       0.31
  Cache L1-D                         |            |           
    num cache accesses               |     133532 |     133078
    num cache misses                 |       1428 |       1401
    miss rate                        |      1.07% |      1.05%
    mpki                             |       6.78 |       6.69
  Cache L2                           |            |           
    num cache accesses               |       1902 |       1890
    num cache misses                 |         95 |         87
    miss rate                        |      4.99% |      4.60%
    mpki                             |       0.45 |       0.42
  Cache L3                           |            |           
    num cache accesses               |        101 |         92
    num cache misses                 |         95 |         87
    miss rate                        |     94.06% |     94.57%
    mpki                             |       0.45 |       0.42
DRAM summary                         |            |           
  num dram accesses                  |        161 |          0
  average dram access latency (ns)   |     171.19 |        inf
  average dram queueing delay        |     117.76 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         29 |         40
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
