                                     | Core 0     | Core 1    
  Instructions                       |     360918 |     350864
  Cycles                             |     631951 |     631951
  IPC                                |       0.57 |       0.56
  Time (ns)                          |     237576 |     237576
  Idle time (ns)                     |      79172 |      82887
  Idle time (%)                      |      33.3% |      34.9%
Branch predictor stats               |            |           
  num correct                        |      42409 |      40738
  num incorrect                      |         93 |         92
  misprediction rate                 |      0.22% |      0.23%
  mpki                               |       0.26 |       0.26
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      89000 |      85643
    num cache misses                 |         11 |         10
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     212513 |     207487
    num cache misses                 |       6099 |       6104
    miss rate                        |      2.87% |      2.94%
    mpki                             |      16.90 |      17.40
  Cache L2                           |            |           
    num cache accesses               |       6219 |       6217
    num cache misses                 |         18 |          6
    miss rate                        |      0.29% |      0.10%
    mpki                             |       0.05 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         20 |          8
    num cache misses                 |         18 |          6
    miss rate                        |     90.00% |     75.00%
    mpki                             |       0.05 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |      88.90 |        inf
  average dram queueing delay        |      35.47 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
