                                     | Core 0     | Core 1    
  Instructions                       |     263374 |     325017
  Cycles                             |     502403 |     502403
  IPC                                |       0.52 |       0.65
  Time (ns)                          |     188874 |     188874
  Idle time (ns)                     |      88341 |      79175
  Idle time (%)                      |      46.8% |      41.9%
Branch predictor stats               |            |           
  num correct                        |      28918 |      41246
  num incorrect                      |        176 |        176
  misprediction rate                 |      0.60% |      0.42%
  mpki                               |       0.67 |       0.54
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      63177 |      87834
    num cache misses                 |         12 |         12
    miss rate                        |      0.02% |      0.01%
    mpki                             |       0.05 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     172284 |     209268
    num cache misses                 |       2352 |       2313
    miss rate                        |      1.37% |      1.11%
    mpki                             |       8.93 |       7.12
  Cache L2                           |            |           
    num cache accesses               |       2637 |       2637
    num cache misses                 |         21 |          6
    miss rate                        |      0.80% |      0.23%
    mpki                             |       0.08 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         23 |          8
    num cache misses                 |         21 |          6
    miss rate                        |     91.30% |     75.00%
    mpki                             |       0.08 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      92.54 |        inf
  average dram queueing delay        |      39.11 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
