                                     | Core 0     | Core 1    
  Instructions                       |     118876 |     109353
  Cycles                             |     270173 |     270173
  IPC                                |       0.44 |       0.40
  Time (ns)                          |     101569 |     101569
  Idle time (ns)                     |      79201 |      81348
  Idle time (%)                      |      78.0% |      80.1%
Branch predictor stats               |            |           
  num correct                        |      16921 |      14557
  num incorrect                      |         64 |         52
  misprediction rate                 |      0.38% |      0.36%
  mpki                               |       0.54 |       0.48
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12022 |      12013
    num cache misses                 |         11 |         10
    miss rate                        |      0.09% |      0.08%
    mpki                             |       0.09 |       0.09
  Cache L1-D                         |            |           
    num cache accesses               |      68990 |      64230
    num cache misses                 |       1204 |       1228
    miss rate                        |      1.75% |      1.91%
    mpki                             |      10.13 |      11.23
  Cache L2                           |            |           
    num cache accesses               |       1790 |       1787
    num cache misses                 |         20 |          5
    miss rate                        |      1.12% |      0.28%
    mpki                             |       0.17 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         22 |          7
    num cache misses                 |         20 |          5
    miss rate                        |     90.91% |     71.43%
    mpki                             |       0.17 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |      93.90 |        inf
  average dram queueing delay        |      40.48 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
