                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     212534 |     213477 |     212702 |     212402
  Cycles                             |    2059452 |    2059452 |    2059452 |    2059452
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     774230 |     774230 |     774230 |     774230
  Idle time (ns)                     |     650076 |     648507 |     650774 |     649587
  Idle time (%)                      |      84.0% |      83.8% |      84.1% |      83.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      18311 |      18439 |      18350 |      18309
  num incorrect                      |        559 |        556 |        534 |        547
  misprediction rate                 |      2.96% |      2.93% |      2.83% |      2.90%
  mpki                               |       2.63 |       2.60 |       2.51 |       2.58
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      36595 |      36759 |      36632 |      36567
    num cache misses                 |         66 |         65 |         65 |         66
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.31 |       0.30 |       0.31 |       0.31
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     134393 |     134784 |     134471 |     134335
    num cache misses                 |       1901 |       1836 |       1762 |       1800
    miss rate                        |      1.41% |      1.36% |      1.31% |      1.34%
    mpki                             |       8.94 |       8.60 |       8.28 |       8.47
  Cache L2                           |            |            |            |           
    num cache accesses               |       2365 |       2280 |       2220 |       2247
    num cache misses                 |         27 |         82 |         28 |         66
    miss rate                        |      1.14% |      3.60% |      1.26% |      2.94%
    mpki                             |       0.13 |       0.38 |       0.13 |       0.31
  Cache L3                           |            |            |            |           
    num cache accesses               |         30 |         87 |         32 |         72
    num cache misses                 |         27 |         82 |         28 |         66
    miss rate                        |     90.00% |     94.25% |     87.50% |     91.67%
    mpki                             |       0.13 |       0.38 |       0.13 |       0.31
DRAM summary                         |            |            |            |           
  num dram accesses                  |        198 |          0 |          0 |          0
  average dram access latency (ns)   |     143.52 |        inf |        inf |        inf
  average dram queueing delay        |      90.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |         39 |         11 |         23
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
