                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5153778 |    5750481 |    5282552 |    4933628 |    4486940 |    4560375 |    5574919 |    5350062
  Cycles                             |   29593773 |   29593773 |   29593773 |   29593773 |   29593773 |   29593773 |   29593773 |   29593773
  IPC                                |       0.17 |       0.19 |       0.18 |       0.17 |       0.15 |       0.15 |       0.19 |       0.18
  Time (ns)                          |   11125479 |   11125479 |   11125479 |   11125479 |   11125479 |   11125479 |   11125479 |   11125479
  Idle time (ns)                     |     802313 |      86175 |     414214 |    1104436 |    1758054 |    1805721 |      80613 |     505678
  Idle time (%)                      |       7.2% |       0.8% |       3.7% |       9.9% |      15.8% |      16.2% |       0.7% |       4.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     736220 |     835658 |     757690 |     699521 |     625097 |     637329 |     806395 |     768942
  num incorrect                      |         95 |        104 |         84 |         99 |         77 |         84 |        103 |         83
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1476616 |    1675517 |    1519535 |    1403227 |    1254335 |    1278810 |    1616991 |    1542041
    num cache misses                 |         10 |         15 |         15 |         15 |         13 |         12 |         15 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2833944 |    3132295 |    2898331 |    2723869 |    2500527 |    2537242 |    3044515 |    2932087
    num cache misses                 |     619285 |     463894 |     461582 |     425297 |     375124 |     372686 |     435933 |     439893
    miss rate                        |     21.85% |     14.81% |     15.93% |     15.61% |     15.00% |     14.69% |     14.32% |     15.00%
    mpki                             |     120.16 |      80.67 |      87.38 |      86.20 |      83.60 |      81.72 |      78.20 |      82.22
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     619336 |     463936 |     461616 |     425331 |     375154 |     372714 |     435984 |     439938
    num cache misses                 |     316254 |     214353 |     210505 |     196638 |     217082 |     213709 |     259959 |     247243
    miss rate                        |     51.06% |     46.20% |     45.60% |     46.23% |     57.86% |     57.34% |     59.63% |     56.20%
    mpki                             |      61.36 |      37.28 |      39.85 |      39.86 |      48.38 |      46.86 |      46.63 |      46.21
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     316541 |     214379 |     210518 |     196656 |     217096 |     213727 |     260005 |     247268
    num cache misses                 |          6 |          5 |          5 |          5 |         16 |          6 |          5 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         58 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     101.17 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      47.74 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          4 |          5 |          2 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
