                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     218814 |     217989 |     219334 |     219458 |     219046 |     218980 |     219858 |     220198
  Cycles                             |    4786260 |    4786260 |    4786260 |    4786260 |    4786260 |    4786260 |    4786260 |    4786260
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |    1799346 |    1799346 |    1799346 |    1799346 |    1799346 |    1799346 |    1799346 |    1799346
  Idle time (ns)                     |    1630014 |    1630433 |    1625821 |    1625732 |    1627172 |    1628401 |    1626035 |    1627756
  Idle time (%)                      |      90.6% |      90.6% |      90.4% |      90.4% |      90.4% |      90.5% |      90.4% |      90.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      18633 |      18592 |      18615 |      18717 |      18697 |      18645 |      18715 |      18931
  num incorrect                      |        615 |        543 |        571 |        581 |        611 |        565 |        591 |        557
  misprediction rate                 |      3.20% |      2.84% |      2.98% |      3.01% |      3.16% |      2.94% |      3.06% |      2.86%
  mpki                               |       2.81 |       2.49 |       2.60 |       2.65 |       2.79 |       2.58 |       2.69 |       2.53
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      38035 |      37889 |      38271 |      38170 |      37996 |      38097 |      38289 |      38117
    num cache misses                 |         66 |         22 |         22 |         66 |         65 |         21 |         64 |         65
    miss rate                        |      0.17% |      0.06% |      0.06% |      0.17% |      0.17% |      0.06% |      0.17% |      0.17%
    mpki                             |       0.30 |       0.10 |       0.10 |       0.30 |       0.30 |       0.10 |       0.29 |       0.30
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     137032 |     136674 |     137281 |     137306 |     137094 |     137104 |     137477 |     137539
    num cache misses                 |       2805 |       2836 |       2976 |       2874 |       2874 |       2842 |       2933 |       2803
    miss rate                        |      2.05% |      2.08% |      2.17% |      2.09% |      2.10% |      2.07% |      2.13% |      2.04%
    mpki                             |      12.82 |      13.01 |      13.57 |      13.10 |      13.12 |      12.98 |      13.34 |      12.73
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3324 |       3276 |       3487 |       3388 |       3405 |       3323 |       3446 |       3325
    num cache misses                 |       1413 |       1446 |       1525 |       1546 |       1496 |       1390 |       1565 |       1480
    miss rate                        |     42.51% |     44.14% |     43.73% |     45.63% |     43.94% |     41.83% |     45.41% |     44.51%
    mpki                             |       6.46 |       6.63 |       6.95 |       7.04 |       6.83 |       6.35 |       7.12 |       6.72
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1699 |       1700 |       1840 |       1822 |       1784 |       1697 |       1870 |       1769
    num cache misses                 |         47 |         19 |         16 |         23 |         76 |         10 |         58 |         56
    miss rate                        |      2.77% |      1.12% |      0.87% |      1.26% |      4.26% |      0.59% |      3.10% |      3.17%
    mpki                             |       0.21 |       0.09 |       0.07 |       0.10 |       0.35 |       0.05 |       0.26 |       0.25
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        238 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     190.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     137.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         20 |          8 |          5 |         11 |         25 |          7 |         26 |         15
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
