                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2973636 |    2933582 |    3239742 |    3573306 |    3325910 |    3526814 |    3564870 |    3655633
  Cycles                             |    2523039 |    2523039 |    2523039 |    2523039 |    2523039 |    2523039 |    2523039 |    2523039
  IPC                                |       1.18 |       1.16 |       1.28 |       1.42 |       1.32 |       1.40 |       1.41 |       1.45
  Time (ns)                          |     948511 |     948511 |     948511 |     948511 |     948511 |     948511 |     948511 |     948511
  Idle time (ns)                     |     203282 |     243816 |     187643 |      94734 |     140806 |     112065 |     104509 |      86695
  Idle time (%)                      |      21.4% |      25.7% |      19.8% |      10.0% |      14.8% |      11.8% |      11.0% |       9.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     710010 |     699982 |     776514 |     859894 |     798066 |     848260 |     857792 |     880471
  num incorrect                      |        157 |        169 |        175 |        185 |        158 |        189 |        167 |        184
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31033 |      31043 |      31047 |      31045 |      31057 |      31059 |      31066 |      31054
    num cache misses                 |         12 |         10 |         10 |         15 |         15 |         15 |         13 |         15
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.05% |      0.05% |      0.05% |      0.04% |      0.05%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1518362 |    1498329 |    1651407 |    1818196 |    1694492 |    1794943 |    1813966 |    1859354
    num cache misses                 |       9702 |       8133 |       8891 |       9979 |       9925 |      10532 |      10734 |      10948
    miss rate                        |      0.64% |      0.54% |      0.54% |      0.55% |      0.59% |      0.59% |      0.59% |      0.59%
    mpki                             |       3.26 |       2.77 |       2.74 |       2.79 |       2.98 |       2.99 |       3.01 |       2.99
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11802 |       9698 |      10428 |      11614 |      11479 |      12079 |      12176 |      12150
    num cache misses                 |       2762 |       1734 |       1426 |       2285 |       2663 |       2157 |       2076 |       2180
    miss rate                        |     23.40% |     17.88% |     13.67% |     19.67% |     23.20% |     17.86% |     17.05% |     17.94%
    mpki                             |       0.93 |       0.59 |       0.44 |       0.64 |       0.80 |       0.61 |       0.58 |       0.60
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4440 |       2528 |       2402 |       3417 |       3617 |       3138 |       3069 |       2967
    num cache misses                 |         11 |          5 |          5 |          8 |          5 |          6 |          6 |         15
    miss rate                        |      0.25% |      0.20% |      0.21% |      0.23% |      0.14% |      0.19% |      0.20% |      0.51%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         58 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      26.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          4 |          3 |          3 |          5 |          4 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
