                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     159125 |     163718 |     174214 |     152927 |     163177 |     135750 |     141891 |     161544
  Cycles                             |    1069739 |    1069739 |    1069739 |    1069739 |    1069739 |    1069739 |    1069739 |    1069739
  IPC                                |       0.15 |       0.15 |       0.16 |       0.14 |       0.15 |       0.13 |       0.13 |       0.15
  Time (ns)                          |     402158 |     402158 |     402158 |     402158 |     402158 |     402158 |     402158 |     402158
  Idle time (ns)                     |     114246 |     104117 |      85559 |     126028 |      81545 |     159998 |     143562 |     106896
  Idle time (%)                      |      28.4% |      25.9% |      21.3% |      31.3% |      20.3% |      39.8% |      35.7% |      26.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      22581 |      23509 |      25598 |      21350 |      23409 |      17912 |      19147 |      23074
  num incorrect                      |         58 |         50 |         55 |         47 |         40 |         43 |         46 |         46
  misprediction rate                 |      0.26% |      0.21% |      0.21% |      0.22% |      0.17% |      0.24% |      0.24% |      0.20%
  mpki                               |       0.36 |       0.31 |       0.32 |       0.31 |       0.25 |       0.32 |       0.32 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      50270 |      52107 |      56293 |      47785 |      51890 |      40902 |      43373 |      51225
    num cache misses                 |         16 |         16 |         16 |         17 |         16 |         15 |         16 |         16
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.04% |      0.04% |      0.03%
    mpki                             |       0.10 |       0.10 |       0.09 |       0.11 |       0.10 |       0.11 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      98929 |     101687 |     107968 |      95210 |     101360 |      84876 |      88588 |     100368
    num cache misses                 |      20501 |      15367 |      15973 |      14357 |      14345 |      11824 |      12569 |      14346
    miss rate                        |     20.72% |     15.11% |     14.79% |     15.08% |     14.15% |     13.93% |     14.19% |     14.29%
    mpki                             |     128.84 |      93.86 |      91.69 |      93.88 |      87.91 |      87.10 |      88.58 |      88.81
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      20594 |      15427 |      16042 |      14411 |      14406 |      11870 |      12623 |      14401
    num cache misses                 |      10439 |       7263 |       7942 |       6709 |       9348 |       7096 |       7587 |       8500
    miss rate                        |     50.69% |     47.08% |     49.51% |     46.55% |     64.89% |     59.78% |     60.10% |     59.02%
    mpki                             |      65.60 |      44.36 |      45.59 |      43.87 |      57.29 |      52.27 |      53.47 |      52.62
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10633 |       7290 |       7972 |       6743 |       9384 |       7120 |       7611 |       8525
    num cache misses                 |         17 |          7 |          5 |         11 |          6 |          7 |          5 |          5
    miss rate                        |      0.16% |      0.10% |      0.06% |      0.16% |      0.06% |      0.10% |      0.07% |      0.06%
    mpki                             |       0.11 |       0.04 |       0.03 |       0.07 |       0.04 |       0.05 |       0.04 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         62 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     103.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      50.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          5 |          5 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
