                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     425015 |     437015 |     470718 |     577294 |     557418 |     500315 |     463576 |     594132
  Cycles                             |     701707 |     701707 |     701707 |     701707 |     701707 |     701707 |     701707 |     701707
  IPC                                |       0.61 |       0.62 |       0.67 |       0.82 |       0.79 |       0.71 |       0.66 |       0.85
  Time (ns)                          |     263800 |     263800 |     263800 |     263800 |     263800 |     263800 |     263800 |     263800
  Idle time (ns)                     |      83741 |      93331 |     112009 |      89471 |      82616 |     107835 |     115092 |      80672
  Idle time (%)                      |      31.7% |      35.4% |      42.5% |      33.9% |      31.3% |      40.9% |      43.6% |      30.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      93427 |      96432 |     104847 |     131486 |     126529 |     112270 |     103082 |     135697
  num incorrect                      |         94 |         69 |         77 |         83 |         81 |         66 |         58 |         89
  misprediction rate                 |      0.10% |      0.07% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07%
  mpki                               |       0.22 |       0.16 |       0.16 |       0.14 |       0.15 |       0.13 |       0.13 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      12024 |      12033 |      12039 |      12045 |      12041 |      12025 |      12035 |      12048
    num cache misses                 |         10 |         15 |         15 |         13 |         14 |         15 |         15 |         15
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     222060 |     228032 |     244883 |     298171 |     288259 |     259700 |     241313 |     306613
    num cache misses                 |       9463 |       7384 |       6848 |       8158 |       7336 |       6179 |       6088 |       7678
    miss rate                        |      4.26% |      3.24% |      2.80% |      2.74% |      2.54% |      2.38% |      2.52% |      2.50%
    mpki                             |      22.27 |      16.90 |      14.55 |      14.13 |      13.16 |      12.35 |      13.13 |      12.92
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11096 |       8916 |       8360 |       9552 |       8604 |       7757 |       7522 |       8766
    num cache misses                 |       2606 |       2294 |       1428 |       1370 |       1923 |       1480 |       1606 |       1698
    miss rate                        |     23.49% |     25.73% |     17.08% |     14.34% |     22.35% |     19.08% |     21.35% |     19.37%
    mpki                             |       6.13 |       5.25 |       3.03 |       2.37 |       3.45 |       2.96 |       3.46 |       2.86
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3740 |       3127 |       1916 |       1870 |       2858 |       2391 |       2888 |       2515
    num cache misses                 |          6 |         14 |          6 |          9 |          6 |          5 |          6 |          9
    miss rate                        |      0.16% |      0.45% |      0.31% |      0.48% |      0.21% |      0.21% |      0.21% |      0.36%
    mpki                             |       0.01 |       0.03 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     134.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      80.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          6 |          4 |          3 |          4 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
