                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98823 |     103984 |      91708 |     100712
  Cycles                             |     310355 |     310355 |     310355 |     310355
  IPC                                |       0.32 |       0.34 |       0.30 |       0.32
  Time (ns)                          |     116675 |     116675 |     116675 |     116675
  Idle time (ns)                     |      84539 |      81358 |      88912 |      84593
  Idle time (%)                      |      72.5% |      69.7% |      76.2% |      72.5%
Branch predictor stats               |            |            |            |           
  num correct                        |       9270 |      10144 |       8087 |       9594
  num incorrect                      |         51 |         36 |         48 |         40
  misprediction rate                 |      0.55% |      0.35% |      0.59% |      0.42%
  mpki                               |       0.52 |       0.35 |       0.52 |       0.40
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      22633 |      24352 |      20257 |      23257
    num cache misses                 |         11 |         13 |         12 |         15
    miss rate                        |      0.05% |      0.05% |      0.06% |      0.06%
    mpki                             |       0.11 |       0.13 |       0.13 |       0.15
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      58966 |      61546 |      55407 |      59912
    num cache misses                 |       9031 |       6979 |       6063 |       6434
    miss rate                        |     15.32% |     11.34% |     10.94% |     10.74%
    mpki                             |      91.39 |      67.12 |      66.11 |      63.89
  Cache L2                           |            |            |            |           
    num cache accesses               |       9146 |       7091 |       6155 |       6529
    num cache misses                 |         12 |          8 |         11 |         15
    miss rate                        |      0.13% |      0.11% |      0.18% |      0.23%
    mpki                             |       0.12 |       0.08 |       0.12 |       0.15
  Cache L3                           |            |            |            |           
    num cache accesses               |         14 |         10 |         13 |         17
    num cache misses                 |         12 |          8 |         11 |         15
    miss rate                        |     85.71% |     80.00% |     84.62% |     88.24%
    mpki                             |       0.12 |       0.08 |       0.12 |       0.15
DRAM summary                         |            |            |            |           
  num dram accesses                  |         37 |          0 |          0 |          0
  average dram access latency (ns)   |      87.39 |        inf |        inf |        inf
  average dram queueing delay        |      33.96 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          2 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
