                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     228391 |     222157 |     184288 |     180189
  Cycles                             |     312488 |     312488 |     312488 |     312488
  IPC                                |       0.73 |       0.71 |       0.59 |       0.58
  Time (ns)                          |     117477 |     117477 |     117477 |     117477
  Idle time (ns)                     |      81288 |      81755 |      87311 |      88288
  Idle time (%)                      |      69.2% |      69.6% |      74.3% |      75.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      36454 |      35191 |      27602 |      26794
  num incorrect                      |         43 |         59 |         68 |         61
  misprediction rate                 |      0.12% |      0.17% |      0.25% |      0.23%
  mpki                               |       0.19 |       0.27 |       0.37 |       0.34
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      77985 |      75483 |      60332 |      58696
    num cache misses                 |         12 |         14 |         16 |         13
    miss rate                        |      0.02% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.05 |       0.06 |       0.09 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     140494 |     136752 |     114028 |     111569
    num cache misses                 |      31473 |      25313 |      21635 |      19569
    miss rate                        |     22.40% |     18.51% |     18.97% |     17.54%
    mpki                             |     137.80 |     113.94 |     117.40 |     108.60
  Cache L2                           |            |            |            |           
    num cache accesses               |      31549 |      25392 |      21710 |      19647
    num cache misses                 |         13 |         14 |          9 |          4
    miss rate                        |      0.04% |      0.06% |      0.04% |      0.02%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         15 |         16 |         11 |          6
    num cache misses                 |         13 |         14 |          9 |          4
    miss rate                        |     86.67% |     87.50% |     81.82% |     66.67%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |      88.05 |        inf |        inf |        inf
  average dram queueing delay        |      34.62 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
