                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     183858 |     140795 |     170697 |     136812
  Cycles                             |     307983 |     307983 |     307983 |     307983
  IPC                                |       0.60 |       0.46 |       0.55 |       0.44
  Time (ns)                          |     115783 |     115783 |     115783 |     115783
  Idle time (ns)                     |      80338 |      88823 |      82040 |      88992
  Idle time (%)                      |      69.4% |      76.7% |      70.9% |      76.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      32895 |      22134 |      29591 |      21135
  num incorrect                      |         78 |         75 |         91 |         81
  misprediction rate                 |      0.24% |      0.34% |      0.31% |      0.38%
  mpki                               |       0.42 |       0.53 |       0.53 |       0.59
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      13029 |      13025 |      13035 |      13028
    num cache misses                 |         15 |         14 |         15 |         13
    miss rate                        |      0.12% |      0.11% |      0.12% |      0.10%
    mpki                             |       0.08 |       0.10 |       0.09 |       0.10
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     100978 |      79449 |      94397 |      77457
    num cache misses                 |       4907 |       3226 |       3763 |       3161
    miss rate                        |      4.86% |      4.06% |      3.99% |      4.08%
    mpki                             |      26.69 |      22.91 |      22.04 |      23.10
  Cache L2                           |            |            |            |           
    num cache accesses               |       5770 |       4260 |       4738 |       3984
    num cache misses                 |         10 |          6 |         16 |          9
    miss rate                        |      0.17% |      0.14% |      0.34% |      0.23%
    mpki                             |       0.05 |       0.04 |       0.09 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |         11 |          8 |         18 |         11
    num cache misses                 |         10 |          6 |         16 |          9
    miss rate                        |     90.91% |     75.00% |     88.89% |     81.82%
    mpki                             |       0.05 |       0.04 |       0.09 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |     149.52 |        inf |        inf |        inf
  average dram queueing delay        |      96.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
