                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      87199 |      86796 |      86981 |      87845
  Cycles                             |     695197 |     695197 |     695197 |     695197
  IPC                                |       0.13 |       0.12 |       0.13 |       0.13
  Time (ns)                          |     261352 |     261352 |     261352 |     261352
  Idle time (ns)                     |     240228 |     240568 |     240746 |     238431
  Idle time (%)                      |      91.9% |      92.0% |      92.1% |      91.2%
Branch predictor stats               |            |            |            |           
  num correct                        |       9157 |       9136 |       9172 |       9263
  num incorrect                      |        274 |        273 |        263 |        284
  misprediction rate                 |      2.91% |      2.90% |      2.79% |      2.97%
  mpki                               |       3.14 |       3.15 |       3.02 |       3.23
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      16488 |      16390 |      16407 |      16562
    num cache misses                 |         65 |         66 |         66 |         66
    miss rate                        |      0.39% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.75 |       0.76 |       0.76 |       0.75
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      49746 |      49574 |      49651 |      50002
    num cache misses                 |       1917 |       1834 |       1680 |       1603
    miss rate                        |      3.85% |      3.70% |      3.38% |      3.21%
    mpki                             |      21.98 |      21.13 |      19.31 |      18.25
  Cache L2                           |            |            |            |           
    num cache accesses               |       2427 |       2385 |       2181 |       2027
    num cache misses                 |         29 |         24 |         22 |        125
    miss rate                        |      1.19% |      1.01% |      1.01% |      6.17%
    mpki                             |       0.33 |       0.28 |       0.25 |       1.42
  Cache L3                           |            |            |            |           
    num cache accesses               |         32 |         28 |         26 |        132
    num cache misses                 |         29 |         24 |         22 |        125
    miss rate                        |     90.62% |     85.71% |     84.62% |     94.70%
    mpki                             |       0.33 |       0.28 |       0.25 |       1.42
DRAM summary                         |            |            |            |           
  num dram accesses                  |        199 |          0 |          0 |          0
  average dram access latency (ns)   |     110.87 |        inf |        inf |        inf
  average dram queueing delay        |      57.44 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         11 |          6 |          5 |         56
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
