                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     167096 |     198887 |     190187 |     233151
  Cycles                             |     314945 |     314945 |     314945 |     314945
  IPC                                |       0.53 |       0.63 |       0.60 |       0.74
  Time (ns)                          |     118401 |     118401 |     118401 |     118401
  Idle time (ns)                     |      90613 |      85496 |      86956 |      81325
  Idle time (%)                      |      76.5% |      72.2% |      73.4% |      68.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      24164 |      30510 |      28779 |      37399
  num incorrect                      |         74 |         87 |         76 |         50
  misprediction rate                 |      0.31% |      0.28% |      0.26% |      0.13%
  mpki                               |       0.44 |       0.44 |       0.40 |       0.21
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      53467 |      66181 |      62699 |      79886
    num cache misses                 |         12 |         11 |         13 |         12
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.06 |       0.07 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     103717 |     122790 |     117568 |     143348
    num cache misses                 |      22046 |      21245 |      20742 |      23049
    miss rate                        |     21.26% |     17.30% |     17.64% |     16.08%
    mpki                             |     131.94 |     106.82 |     109.06 |      98.86
  Cache L2                           |            |            |            |           
    num cache accesses               |      22096 |      21322 |      20832 |      23125
    num cache misses                 |         10 |          8 |         14 |          5
    miss rate                        |      0.05% |      0.04% |      0.07% |      0.02%
    mpki                             |       0.06 |       0.04 |       0.07 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         12 |         10 |         16 |          7
    num cache misses                 |         10 |          8 |         14 |          5
    miss rate                        |     83.33% |     80.00% |     87.50% |     71.43%
    mpki                             |       0.06 |       0.04 |       0.07 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |      98.33 |        inf |        inf |        inf
  average dram queueing delay        |      44.90 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          2 |          5 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
